task_id,uid,uid_num,runner,lane,status,reward,difficulty,domain_family,operation_family,phase1_feasibility,phase1_computation_type,goose_total_tokens,tool_request_total,mcp_tool_request_total,message_count,thinking_chars,text_chars,openrouter_rows_matched,openrouter_cost_total,openrouter_tokens_prompt,openrouter_tokens_completion,openrouter_tokens_reasoning,openrouter_tokens_cached,usd_per_1k_goose_tokens,exception_path,trial_dir
officeqa-uid0054,UID0054,54,officeqa-big-runner-02,,passed,1.0,easy,fx,comparison,,,20961,20,2,3580,23360,812,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-104525-d48af4/pool-20260402T094504Z-officeqa-big-runner-02-lane2-officeqa-uid0054/officeqa-uid0054__q7itbMr
officeqa-uid0055,UID0055,55,officeqa-big-runner-02,,failed,0.0,hard,rates_and_securities,comparison,medium,absolute_change,36758,32,3,7670,43963,3147,9,0.003205,17050,1273,1006,12896,8.7e-05,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-103508-933cb8/pool-20260402T094504Z-officeqa-big-runner-02-lane3-officeqa-uid0055/officeqa-uid0055__Yk8ijKp
officeqa-uid0056,UID0056,56,officeqa-big-runner-02,,failed,0.0,hard,other,lookup_or_aggregation,,,72467,86,5,21373,164797,1310,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-103301-128ab3/pool-20260402T094504Z-officeqa-big-runner-02-lane4-officeqa-uid0056/officeqa-uid0056__o9QsoSP
officeqa-uid0057,UID0057,57,officeqa-big-runner-01,,passed,1.0,hard,rates_and_securities,lookup_or_aggregation,,,62728,69,1,15890,112557,2588,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-102835-31b3ba/pool-20260402T094504Z-officeqa-big-runner-01-lane1-officeqa-uid0057/officeqa-uid0057__D5UXukc
officeqa-uid0058,UID0058,58,officeqa-big-runner-01,,failed,0.0,hard,fx,lookup_or_aggregation,medium,lookup,25472,20,4,3274,22034,1403,9,0.015372,116222,3053,2178,92304,0.000603,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-105142-71cf0e/pool-20260402T094504Z-officeqa-big-runner-01-lane2-officeqa-uid0058/officeqa-uid0058__Kg5DWnj
officeqa-uid0059,UID0059,59,officeqa-big-runner-01,,passed,1.0,hard,other,comparison,,,20048,28,10,7967,52546,1618,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-103531-dc0491/pool-20260402T094504Z-officeqa-big-runner-01-lane3-officeqa-uid0059/officeqa-uid0059__TE6qcfY
officeqa-uid0060,UID0060,60,officeqa-big-runner-01,,failed,0.0,easy,other,comparison,,,25814,36,5,7854,50105,2490,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-103823-89e104/pool-20260402T094504Z-officeqa-big-runner-01-lane4-officeqa-uid0060/officeqa-uid0060__mHDCF37
officeqa-uid0061,UID0061,61,officeqa-big-runner-02,,passed,1.0,easy,rates_and_securities,comparison,medium,percentage_difference,22203,23,6,4434,30931,1295,1,0.002505,19822,514,238,19360,0.000113,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-111719-0939f6/pool-20260402T094504Z-officeqa-big-runner-02-lane1-officeqa-uid0061/officeqa-uid0061__EcQWarT
officeqa-uid0062,UID0062,62,officeqa-big-runner-02,,failed,0.0,hard,budget_and_receipts,lookup_or_aggregation,,,29259,41,2,8254,64298,1585,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-104904-a9cacf/pool-20260402T094504Z-officeqa-big-runner-02-lane2-officeqa-uid0062/officeqa-uid0062__rS6zrue
officeqa-uid0063,UID0063,63,officeqa-big-runner-02,,passed,1.0,easy,fx,comparison,,,41789,39,2,11303,91632,1514,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-104011-791478/pool-20260402T094504Z-officeqa-big-runner-02-lane3-officeqa-uid0063/officeqa-uid0063__c9gaH9i
officeqa-uid0064,UID0064,64,officeqa-big-runner-02,,passed,1.0,easy,fx,lookup_or_aggregation,,,26301,22,2,3919,24318,1990,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-104456-ee5534/pool-20260402T094504Z-officeqa-big-runner-02-lane4-officeqa-uid0064/officeqa-uid0064__SX9Gthw
officeqa-uid0065,UID0065,65,officeqa-big-runner-01,,passed,1.0,hard,other,comparison,,,12984,14,2,1720,9960,1046,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-103842-4e337a/pool-20260402T094504Z-officeqa-big-runner-01-lane1-officeqa-uid0065/officeqa-uid0065__w54TWHm
officeqa-uid0066,UID0066,66,officeqa-big-runner-01,,failed,0.0,easy,budget_and_receipts,lookup_or_aggregation,,,15576,13,1,3235,21125,1553,31,0.030827,211106,9204,6455,184800,0.001979,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-105457-1507e6/pool-20260402T094504Z-officeqa-big-runner-01-lane2-officeqa-uid0066/officeqa-uid0066__zZuRY8P
officeqa-uid0067,UID0067,67,officeqa-big-runner-01,,passed,1.0,easy,macro_and_monetary,conversion,medium,convert_value_to_weight,22587,28,11,6717,45587,1025,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-104040-44c124/pool-20260402T094504Z-officeqa-big-runner-01-lane3-officeqa-uid0067/officeqa-uid0067__eVzxdTp
officeqa-uid0068,UID0068,68,officeqa-big-runner-01,,passed,1.0,hard,other,lookup_or_aggregation,medium,find_minimum,50977,60,1,20186,141235,1563,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-104255-ea966b/pool-20260402T094504Z-officeqa-big-runner-01-lane4-officeqa-uid0068/officeqa-uid0068__hFKSxV2
officeqa-uid0069,UID0069,69,officeqa-big-runner-02,,failed,0.0,hard,rates_and_securities,lookup_or_aggregation,,,69900,62,0,11276,91696,1613,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-112101-3955bc/pool-20260402T094504Z-officeqa-big-runner-02-lane1-officeqa-uid0069/officeqa-uid0069__zVh3URV
officeqa-uid0070,UID0070,70,officeqa-big-runner-02,,passed,1.0,easy,other,lookup_or_aggregation,,,20536,35,3,8125,53235,1271,14,0.00608,34405,1831,1325,26512,0.000296,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-105400-adcf63/pool-20260402T094504Z-officeqa-big-runner-02-lane2-officeqa-uid0070/officeqa-uid0070__hNV623K
officeqa-uid0071,UID0071,71,officeqa-big-runner-02,,failed,0.0,hard,rates_and_securities,statistical,very_hard,population_standard_deviation,71631,59,4,12090,94816,1643,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-104634-5f5878/pool-20260402T094504Z-officeqa-big-runner-02-lane3-officeqa-uid0071/officeqa-uid0071__AXnfZbU
officeqa-uid0072,UID0072,72,officeqa-big-runner-02,,passed,1.0,easy,debt_and_international,comparison,medium,calculate_share_percentage,29035,25,10,3739,24685,1290,3,0.009553,77633,1765,46,76368,0.000329,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-105830-c9f233/pool-20260402T094504Z-officeqa-big-runner-02-lane4-officeqa-uid0072/officeqa-uid0072__khBBGVw
officeqa-uid0073,UID0073,73,officeqa-big-runner-01,,passed,1.0,hard,budget_and_receipts,statistical,medium,population_standard_deviation,64868,100,1,33152,235818,2485,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-104125-65bd4b/pool-20260402T094504Z-officeqa-big-runner-01-lane1-officeqa-uid0073/officeqa-uid0073__c9Rucyt
officeqa-uid0074,UID0074,74,officeqa-big-runner-01,,passed,1.0,easy,budget_and_receipts,statistical,,,18457,27,20,4322,22462,1500,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-105825-5be222/pool-20260402T094504Z-officeqa-big-runner-01-lane2-officeqa-uid0074/officeqa-uid0074__zdFsfM3
officeqa-uid0075,UID0075,75,officeqa-big-runner-01,,passed,1.0,easy,budget_and_receipts,statistical,,,47957,59,12,13419,90507,993,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-104514-3230f9/pool-20260402T094504Z-officeqa-big-runner-01-lane3-officeqa-uid0075/officeqa-uid0075__fsajocu
officeqa-uid0076,UID0076,76,officeqa-big-runner-01,,failed,0.0,easy,budget_and_receipts,comparison,,,29965,43,16,15806,118446,3373,6,0.016175,138873,2243,1535,136528,0.00054,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-105122-2df1cf/pool-20260402T094504Z-officeqa-big-runner-01-lane4-officeqa-uid0076/officeqa-uid0076__JQFwvou
officeqa-uid0077,UID0077,77,officeqa-big-runner-02,,failed,0.0,hard,budget_and_receipts,comparison,medium,percentage_change,31966,41,12,11226,82885,2645,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-112817-921b5a/pool-20260402T094504Z-officeqa-big-runner-02-lane1-officeqa-uid0077/officeqa-uid0077__4d64LMT
officeqa-uid0078,UID0078,78,officeqa-big-runner-02,,passed,1.0,easy,other,comparison,,,16601,28,13,3505,19707,1218,1,0.004862,28556,1954,133,25936,0.000293,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-105840-d9949e/pool-20260402T094504Z-officeqa-big-runner-02-lane2-officeqa-uid0078/officeqa-uid0078__9DuyFB4
officeqa-uid0079,UID0079,79,officeqa-big-runner-02,,failed,0.0,easy,rates_and_securities,statistical,,,15070,23,8,7309,45990,1615,16,0.033046,282710,4353,1418,261184,0.002193,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-105632-7a7487/pool-20260402T094504Z-officeqa-big-runner-02-lane3-officeqa-uid0079/officeqa-uid0079__fhYtZi4
officeqa-uid0080,UID0080,80,officeqa-big-runner-02,,passed,1.0,easy,other,lookup_or_aggregation,,,12095,20,4,2956,19050,2147,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-110247-1aa337/pool-20260402T094504Z-officeqa-big-runner-02-lane4-officeqa-uid0080/officeqa-uid0080__9FHpoye
officeqa-uid0081,UID0081,81,officeqa-big-runner-01,,failed,0.0,easy,debt_and_international,lookup_or_aggregation,,,13149,16,8,1843,12137,1342,34,0.057677,437315,13268,8850,413424,0.004386,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-105648-175727/pool-20260402T094504Z-officeqa-big-runner-01-lane1-officeqa-uid0081/officeqa-uid0081__LHyhsVN
officeqa-uid0082,UID0082,82,officeqa-big-runner-01,,failed,0.0,easy,debt_and_international,comparison,medium,subtraction,19962,17,5,4342,33151,1221,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-110308-821f66/pool-20260402T094504Z-officeqa-big-runner-01-lane2-officeqa-uid0082/officeqa-uid0082__Jur2wNR
officeqa-uid0083,UID0083,83,officeqa-big-runner-01,,passed,1.0,hard,budget_and_receipts,statistical,,,39929,60,11,16156,104467,3276,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-105150-ec7e28/pool-20260402T094504Z-officeqa-big-runner-01-lane3-officeqa-uid0083/officeqa-uid0083__h2mTuW9
officeqa-uid0084,UID0084,84,officeqa-big-runner-01,,passed,1.0,hard,budget_and_receipts,statistical,,,24997,39,23,11458,75972,1078,6,0.028582,216406,6825,1683,210464,0.001143,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-105757-698540/pool-20260402T094504Z-officeqa-big-runner-01-lane4-officeqa-uid0084/officeqa-uid0084__vrTQQ7D
officeqa-uid0085,UID0085,85,officeqa-big-runner-02,,failed,0.0,hard,budget_and_receipts,comparison,,,11994,21,10,3875,25108,1044,14,0.042058,360148,5657,4016,340640,0.003507,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-113401-0f7fe1/pool-20260402T094504Z-officeqa-big-runner-02-lane1-officeqa-uid0085/officeqa-uid0085__g6RBAk7
officeqa-uid0086,UID0086,86,officeqa-big-runner-02,,passed,1.0,hard,other,comparison,,,13473,23,4,4281,28183,661,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-110254-62cd7c/pool-20260402T094504Z-officeqa-big-runner-02-lane2-officeqa-uid0086/officeqa-uid0086__Aecx3EY
officeqa-uid0087,UID0087,87,officeqa-big-runner-02,,passed,1.0,easy,budget_and_receipts,lookup_or_aggregation,,,23380,24,6,3387,23568,1471,26,0.027501,222115,3950,2817,176736,0.001176,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-110307-bb42e3/pool-20260402T094504Z-officeqa-big-runner-02-lane3-officeqa-uid0087/officeqa-uid0087__3gUB928
officeqa-uid0088,UID0088,88,officeqa-big-runner-02,,passed,1.0,easy,budget_and_receipts,lookup_or_aggregation,,,47623,49,1,9481,62085,1965,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-110707-b64ba3/pool-20260402T094504Z-officeqa-big-runner-02-lane4-officeqa-uid0088/officeqa-uid0088__Jevsgbn
officeqa-uid0089,UID0089,89,officeqa-big-runner-01,,failed,0.0,easy,budget_and_receipts,comparison,,,45343,64,7,12144,80823,1948,5,0.022307,203748,1871,1154,200512,0.000492,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-105925-22ced0/pool-20260402T094504Z-officeqa-big-runner-01-lane1-officeqa-uid0089/officeqa-uid0089__yzHgpps
officeqa-uid0090,UID0090,90,officeqa-big-runner-01,,passed,1.0,easy,rates_and_securities,lookup_or_aggregation,,,14020,18,9,3011,19527,862,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-110701-4d8da7/pool-20260402T094504Z-officeqa-big-runner-01-lane2-officeqa-uid0090/officeqa-uid0090__tQbeoQU
officeqa-uid0091,UID0091,91,officeqa-big-runner-01,,failed,0.0,easy,other,lookup_or_aggregation,,,8951,13,7,3330,19610,1471,2,0.008521,63316,2106,623,59120,0.000952,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-105918-1adf8e/pool-20260402T094504Z-officeqa-big-runner-01-lane3-officeqa-uid0091/officeqa-uid0091__VbzKvBR
officeqa-uid0092,UID0092,92,officeqa-big-runner-01,,failed,0.0,easy,other,statistical,,,50139,56,3,11220,65877,1713,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-110541-e1565c/pool-20260402T094504Z-officeqa-big-runner-01-lane4-officeqa-uid0092/officeqa-uid0092__Pw94wzY
officeqa-uid0093,UID0093,93,officeqa-big-runner-02,,passed,1.0,hard,debt_and_international,lookup_or_aggregation,,,56413,59,3,10141,187503,1350,4,0.013316,117443,1558,778,116640,0.000236,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-113757-fa8ca8/pool-20260402T094504Z-officeqa-big-runner-02-lane1-officeqa-uid0093/officeqa-uid0093__gGpFJNR
officeqa-uid0094,UID0094,94,officeqa-big-runner-02,,failed,0.0,hard,other,comparison,,,29103,34,9,6089,38984,1773,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-110728-90b744/pool-20260402T094504Z-officeqa-big-runner-02-lane2-officeqa-uid0094/officeqa-uid0094__HNKjruy
officeqa-uid0095,UID0095,95,officeqa-big-runner-02,,passed,1.0,easy,fx,comparison,,,33342,48,13,9605,76263,1944,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-110738-173cfe/pool-20260402T094504Z-officeqa-big-runner-02-lane3-officeqa-uid0095/officeqa-uid0095__fFdTs5v
officeqa-uid0096,UID0096,96,officeqa-big-runner-02,,failed,0.0,hard,other,lookup_or_aggregation,,,72806,117,14,28566,247905,1200,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-111424-5ff52d/pool-20260402T094504Z-officeqa-big-runner-02-lane4-officeqa-uid0096/officeqa-uid0096__UyebGwx
officeqa-uid0097,UID0097,97,officeqa-big-runner-01,,passed,1.0,hard,debt_and_international,comparison,,,21408,20,4,2713,15829,1785,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-110814-a839ce/pool-20260402T094504Z-officeqa-big-runner-01-lane1-officeqa-uid0097/officeqa-uid0097__bLfY9sp
officeqa-uid0098,UID0098,98,officeqa-big-runner-01,,failed,0.0,easy,rates_and_securities,lookup_or_aggregation,,,39062,48,6,10123,65005,1604,3,0.007042,57921,1241,838,57408,0.00018,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-111057-d08e45/pool-20260402T094504Z-officeqa-big-runner-01-lane2-officeqa-uid0098/officeqa-uid0098__LVXxmyV
officeqa-uid0099,UID0099,99,officeqa-big-runner-01,,passed,1.0,easy,budget_and_receipts,lookup_or_aggregation,,,9420,8,5,2394,10267,1944,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-110257-f9ae05/pool-20260402T094504Z-officeqa-big-runner-01-lane3-officeqa-uid0099/officeqa-uid0099__CSzVvTk
officeqa-uid0100,UID0100,100,officeqa-big-runner-01,,passed,1.0,hard,budget_and_receipts,statistical,,,39061,39,2,5895,36779,1889,4,0.00191,10175,561,353,4608,4.9e-05,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-111214-34a867/pool-20260402T094504Z-officeqa-big-runner-01-lane4-officeqa-uid0100/officeqa-uid0100__6nM7qjv
officeqa-uid0101,UID0101,101,officeqa-big-runner-02,,failed,0.0,hard,budget_and_receipts,comparison,,,20386,31,6,370,53466,2018,4,0.025461,234247,2031,1746,233904,0.001249,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-114656-879077/pool-20260402T094504Z-officeqa-big-runner-02-lane1-officeqa-uid0101/officeqa-uid0101__Buwr4pd
officeqa-uid0102,UID0102,102,officeqa-big-runner-02,,failed,0.0,hard,budget_and_receipts,lookup_or_aggregation,,,20634,30,9,7093,34784,1507,14,0.016237,126916,2949,1660,96768,0.000787,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-111336-eee828/pool-20260402T094504Z-officeqa-big-runner-02-lane2-officeqa-uid0102/officeqa-uid0102__k6SeEGG
officeqa-uid0103,UID0103,103,officeqa-big-runner-02,,passed,1.0,hard,rates_and_securities,lookup_or_aggregation,,,33570,23,0,4197,19393,2669,3,0.007526,56026,1907,1433,55136,0.000224,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-111510-ca6e57/pool-20260402T094504Z-officeqa-big-runner-02-lane3-officeqa-uid0103/officeqa-uid0103__LDvhx6Q
officeqa-uid0104,UID0104,104,officeqa-big-runner-02,,failed,0.0,easy,other,statistical,,,15608,11,3,2858,12218,2218,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-112817-ccaae4/pool-20260402T094504Z-officeqa-big-runner-02-lane4-officeqa-uid0104/officeqa-uid0104__CYc7A4D
officeqa-uid0105,UID0105,105,officeqa-big-runner-01,,failed,0.0,easy,macro_and_monetary,statistical,medium,statistical,33528,48,18,8188,51204,1573,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-111152-4cfffa/pool-20260402T094504Z-officeqa-big-runner-01-lane1-officeqa-uid0105/officeqa-uid0105__ecQZWVc
officeqa-uid0106,UID0106,106,officeqa-big-runner-01,,passed,1.0,easy,budget_and_receipts,statistical,,,19692,16,2,4220,21708,922,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-112635-f43ed0/pool-20260402T094504Z-officeqa-big-runner-01-lane2-officeqa-uid0106/officeqa-uid0106__r7XyR5L
officeqa-uid0107,UID0107,107,officeqa-big-runner-01,,passed,1.0,easy,debt_and_international,statistical,,,17308,20,1,3629,20414,1900,15,0.05335,434536,9625,6495,420720,0.003082,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-110615-64605b/pool-20260402T094504Z-officeqa-big-runner-01-lane3-officeqa-uid0107/officeqa-uid0107__dQfFJ82
officeqa-uid0108,UID0108,108,officeqa-big-runner-01,,failed,0.0,hard,budget_and_receipts,lookup_or_aggregation,,,31471,34,7,10679,62287,1769,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-111741-4cc2c1/pool-20260402T094504Z-officeqa-big-runner-01-lane4-officeqa-uid0108/officeqa-uid0108__Une4zr4
officeqa-uid0109,UID0109,109,officeqa-big-runner-02,,passed,1.0,hard,budget_and_receipts,lookup_or_aggregation,,,14089,16,13,286,12364,2391,9,0.034446,313437,3012,2187,308672,0.002445,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-115145-fe9898/pool-20260402T094504Z-officeqa-big-runner-02-lane1-officeqa-uid0109/officeqa-uid0109__3ZFXE23
officeqa-uid0110,UID0110,110,officeqa-big-runner-02,,failed,0.0,hard,macro_and_monetary,statistical,medium,geometric_mean,47532,53,8,9392,50658,1728,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-111835-7b3d90/pool-20260402T094504Z-officeqa-big-runner-02-lane2-officeqa-uid0110/officeqa-uid0110__wtTfhBn
officeqa-uid0111,UID0111,111,officeqa-big-runner-02,,passed,1.0,hard,budget_and_receipts,lookup_or_aggregation,,,40675,38,6,4789,31534,1796,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-111938-67bf97/pool-20260402T094504Z-officeqa-big-runner-02-lane3-officeqa-uid0111/officeqa-uid0111__Q4yKyzD
officeqa-uid0112,UID0112,112,officeqa-big-runner-02,,passed,1.0,hard,budget_and_receipts,lookup_or_aggregation,,,31074,38,2,8866,59050,1378,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-113220-a4ac58/pool-20260402T094504Z-officeqa-big-runner-02-lane4-officeqa-uid0112/officeqa-uid0112__mJTsDhX
officeqa-uid0113,UID0113,113,officeqa-big-runner-01,,failed,0.0,hard,other,comparison,medium,difference,35203,27,6,7983,57038,1239,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-111730-b0c248/pool-20260402T094504Z-officeqa-big-runner-01-lane1-officeqa-uid0113/officeqa-uid0113__LKNmxvR
